t,¦Ì,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,B Density,X4 Density,B FirstIonization,X2 FirstIonization,X3 FirstIonization,B AtomicMass,B MeltingPoint
0.608226809,0.631299735,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,12.9676,10.4513,207.2,600.75
0.602888815,0.688856729,4,4,125,3.582,3.582,0.129,11.3,0.00321,7.4167,11.8138,12.9676,207.2,600.75
0.609418134,0.618985696,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,11.8138,10.4513,207.2,600.75
0.604988925,0.665734266,4,4,125,3.582,3.582,0.129,11.3,0.00321,7.4167,10.4513,12.9676,207.2,600.75
0.607497964,0.638926174,4,4,125,3.582,3.582,0.129,11.3,3.12,7.4167,10.4513,11.8138,207.2,600.75
0.604211378,0.674220963,4,4,125,3.582,3.582,0.129,11.3,3.12,7.4167,17.4228,11.8138,207.2,600.75
0.608226809,0.631299735,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,17.4228,10.4513,207.2,600.75
0.598418339,0.740279938,4,4,125,3.582,3.582,0.129,11.3,0.0017,7.4167,11.8138,17.4228,207.2,600.75
0.613044626,0.582619339,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,11.8138,10.4513,207.2,600.75
0.600700511,0.713643178,4,4,125,3.582,3.582,0.129,11.3,0.0017,7.4167,10.4513,17.4228,207.2,600.75
0.611265673,0.600252207,4,4,125,3.582,3.582,0.129,11.3,3.12,7.4167,10.4513,11.8138,207.2,600.75
0.602888815,0.688856729,4,4,125,3.582,3.582,0.129,11.3,0.00321,7.4167,17.4228,12.9676,207.2,600.75
0.609418134,0.618985696,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,17.4228,10.4513,207.2,600.75
0.598418339,0.740279938,4,4,125,3.582,3.582,0.129,11.3,0.0017,7.4167,12.9676,17.4228,207.2,600.75
0.613044626,0.582619339,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,12.9676,10.4513,207.2,600.75
0.602078831,0.697947214,4,4,125,3.582,3.582,0.129,11.3,0.0017,7.4167,10.4513,17.4228,207.2,600.75
0.610119248,0.611825193,4,4,125,3.582,3.582,0.129,11.3,0.00321,7.4167,10.4513,12.9676,207.2,600.75
0.604988925,0.665734266,4,4,125,3.582,3.582,0.129,11.3,0.00321,7.4167,17.4228,12.9676,207.2,600.75
0.607497964,0.638926174,4,4,125,3.582,3.582,0.129,11.3,3.12,7.4167,17.4228,11.8138,207.2,600.75
0.600700511,0.713643178,4,4,125,3.582,3.582,0.129,11.3,0.0017,7.4167,12.9676,17.4228,207.2,600.75
0.611265673,0.600252207,4,4,125,3.582,3.582,0.129,11.3,3.12,7.4167,12.9676,11.8138,207.2,600.75
0.602078831,0.697947214,4,4,125,3.582,3.582,0.129,11.3,0.0017,7.4167,11.8138,17.4228,207.2,600.75
0.610119248,0.611825193,4,4,125,3.582,3.582,0.129,11.3,0.00321,7.4167,11.8138,12.9676,207.2,600.75
0.573176444,0.764872521,4,4,81,3.582,3.582,0.204,3.59,3.12,5.2117,12.9676,11.8138,137.327,1002.15
0.578144493,0.716180371,4,4,81,3.582,3.582,0.204,3.59,4.93,5.2117,12.9676,10.4513,137.327,1002.15
0.571544474,0.781476122,4,4,81,3.582,3.582,0.204,3.59,0.00321,5.2117,11.8138,12.9676,137.327,1002.15
